DATASET_BINARY
SEPARATOR COMMA
DATASET_LABEL,cohesin
COLOR,#4477aa
FIELD_LABELS,SMC1,SMC3,Scc1,Rec8,Scc3,PDS5,NIPBL,MAU2,WAPL,Eco1,Securin,Sororin,Haspin,Shugoshin,Separase,CTCF
FIELD_COLORS,#4477aa,#4477aa,#4477aa,#4477aa,#4477aa,#4477aa,#4477aa,#4477aa,#4477aa,#4477aa,#4477aa,#4477aa,#4477aa,#4477aa,#4477aa,#4477aa
FIELD_SHAPES,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LEGEND_SHAPES,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LEGEND_TITLE,cohesin
LEGEND_COLORS,#4477aa,#4477aa,#4477aa,#4477aa,#4477aa,#4477aa,#4477aa,#4477aa,#4477aa,#4477aa,#4477aa,#4477aa,#4477aa,#4477aa,#4477aa,#4477aa
LEGEND_LABELS,SMC1,SMC3,Scc1,Rec8,Scc3,PDS5,NIPBL,MAU2,WAPL,Eco1,Securin,Sororin,Haspin,Shugoshin,Separase,CTCF
SHOW_LABELS,1
SIZE_FACTOR,1
LABEL_ROTATION,0
HEIGHT_FACTOR,1
SYMBOL_SPACING,3
DASHED_LINES,1
MARGIN,0
DATA
ANAIGN,1,1,0,1,1,1,1,0,0,0,0,0,0,0,1,0
TRIVAG,1,1,0,1,1,1,1,0,0,0,0,0,0,1,1,0
TRIMAR,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
MONEXI,1,1,0,1,1,1,1,0,0,0,0,0,0,0,1,0
PARPYR,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,0
BARSPE,1,1,0,1,1,1,0,0,0,1,0,0,0,0,1,0
CARMEM,1,1,0,1,1,0,1,0,0,1,0,0,0,0,1,0
DYSBRE,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0
GIAINT,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
SPISAL,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
TRESPE,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
ANDGOD,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,0
STYINC,1,1,1,0,1,1,1,1,1,1,0,0,0,0,1,0
PHAKIR,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,0
NEODAM,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0
NAEFOW,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0
PERSWS,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0
ENTSUL,1,1,1,0,1,1,1,0,0,1,0,0,0,0,1,0
EUGLON,1,1,1,0,1,1,1,1,1,1,1,0,0,0,1,0
HEMPHA,1,1,1,0,1,1,1,1,1,1,0,0,0,0,1,0
RHYHUM,1,1,1,0,1,1,1,1,0,1,0,0,0,0,1,0
PAPANK,1,1,1,0,1,1,1,1,1,1,1,0,0,0,1,0
APISPI,1,1,1,0,1,1,1,1,1,1,0,0,0,0,1,0
PERSPE,1,1,1,0,1,1,0,1,0,1,0,0,0,0,1,0
BODSAL,1,1,1,0,1,1,1,1,1,0,0,0,0,0,1,0
LEIMAJ,1,1,1,0,1,1,1,1,1,1,0,0,0,0,1,0
TRYBRU,1,1,1,0,1,1,1,1,1,1,0,0,0,0,1,0
ANCTWI,1,1,1,0,0,1,0,0,1,1,1,0,0,1,1,0
HEMKUK,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0
SPISPE,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0
NUTLON,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,0
FABTRO,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0
GEFOKE,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0
RIGRAM,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0
DIPROT,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,0
MANSPH,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0
ARCINT,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,0
VERVER,1,1,1,0,1,1,1,1,0,0,1,0,1,0,1,0
ACACAS,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0
ENTHIS,1,1,1,0,1,1,1,0,0,1,0,0,1,0,1,0
MASBAL,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,0
PLAFUN,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0
PHYPOL,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0
DICDIS,1,1,1,0,1,1,1,1,1,1,0,0,1,0,1,0
POLPAL,1,1,1,0,1,1,1,1,1,1,0,0,1,0,1,0
LENLIM,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0
PYGBIF,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,0
THETRA,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0
PARATL,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0
ROZALL,1,1,1,0,1,1,1,1,0,0,0,0,0,0,1,0
ENCINT,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0
VAVCUL,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0
PARTRI,1,1,1,0,1,1,1,0,0,1,0,0,1,0,1,0
SPIPUN,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
GONPRO,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0
NEOSPE,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0
ALLMAC,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0
COEREV,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,0
RAMBRE,0,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0
MORVER,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0
UMBRAM,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,0
SYNPLU,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0
BASMER,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0
RHIIRR,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
USTMAY,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0
AGABIS,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
CRYNEO,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
SCHPOM,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
NEUCRA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
SACCER,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
CHRPER,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
CREFRA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
CAPOWC,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0
DIAGRA,1,1,1,0,1,1,1,0,1,1,1,0,1,0,1,0
MONBRE,0,1,1,1,1,1,1,0,1,1,1,0,1,0,1,0
SALKVE,1,1,1,0,1,1,1,0,1,1,1,0,1,0,1,0
LEUCOM,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
MNELEI,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0
NEMVEC,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0
TRIADH,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0
ACAPLA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CIOINT,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1
BRABEL,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
DANRER,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HOMSAP,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
IXOSCA,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
DAPMAG,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1
BOMMOR,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
DROMEL,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SCHMAN,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0
CRAGIG,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
RAMVAR,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1
PRIPAC,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
STRRAT,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,0
CAEELE,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
PICSPE,1,1,1,0,1,1,1,1,1,1,1,0,0,0,1,0
MICMAR,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
PALBIL,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0
GONPAC,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,0
GUITHE,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0
BAFFRI,1,1,1,0,1,1,1,1,1,1,0,0,0,1,1,0
GEMCRY,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0
DIALUT,1,1,1,1,1,1,1,0,0,1,1,0,0,0,1,0
GEPOCE,1,1,1,0,1,1,1,0,1,0,1,0,0,0,1,0
PRYPAR,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0
CHOSPE,1,1,1,0,1,1,1,1,1,1,0,0,0,0,1,0
PTESPE,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0
ACASPE,1,1,1,0,1,1,1,1,1,0,0,0,0,0,1,0
RAPHET,1,1,1,0,0,1,1,1,1,1,1,0,0,0,1,0
RHOMAR,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0
MADERY,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0
CYAMER,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,0
GALSUL,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,0
RUSMAR,1,1,1,1,1,1,1,0,0,0,1,1,0,0,1,0
GRACHO,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0
PORPUR,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,0
CYAGLO,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CYAPAR,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
GLOWIT,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,0
CHLATM,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,0
KLENIT,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
CHABRA,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
MARPOL,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0
PHYPAT,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
CYCPAN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
ARATHA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
SORBIC,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
PRACOL,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0
MICSPE,1,1,1,0,1,1,1,1,1,1,0,0,1,1,0,0
OSTTAU,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
NEPPYR,1,1,1,0,1,1,1,1,1,0,1,0,1,0,0,0
CHLVAR,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,0
COCSUB,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0
CAULEN,1,1,1,0,1,1,1,0,0,1,0,0,1,0,1,0
CHLREI,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0
MONNEG,1,1,1,0,1,1,1,1,1,1,0,0,1,0,1,0
TELSPE,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,0
TELSUB,1,1,1,0,1,1,1,0,1,1,1,0,0,0,1,0
ELPMAR,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,0
LEPVOR,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,0
PLABRA,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0
