DATASET_BINARY
SEPARATOR COMMA
DATASET_LABEL,cohesin
COLOR,#3362FF
FIELD_LABELS,SMC1,SMC3,Scc1,Rec8,Scc3,PDS5,NIPBL,MAU2,Separase,WAPL,Eco1,Securin,Sororin,CTCF,DYAD,Haspin,Shugoshin
FIELD_COLORS,#3362FF,#3362FF,#3362FF,#3362FF,#3362FF,#3362FF,#3362FF,#3362FF,#3362FF,#3362FF,#3362FF,#3362FF,#3362FF,#3362FF,#3362FF,#3362FF,#3362FF
FIELD_SHAPES,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LEGEND_SHAPES,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LEGEND_TITLE,cohesin
LEGEND_COLORS,#3362FF,#3362FF,#3362FF,#3362FF,#3362FF,#3362FF,#3362FF,#3362FF,#3362FF,#3362FF,#3362FF,#3362FF,#3362FF,#3362FF,#3362FF,#3362FF,#3362FF
LEGEND_LABELS,SMC1,SMC3,Scc1,Rec8,Scc3,PDS5,NIPBL,MAU2,Separase,WAPL,Eco1,Securin,Sororin,CTCF,DYAD,Haspin,Shugoshin
SHOW_LABELS,1
SIZE_FACTOR,1
LABEL_ROTATION,0
HEIGHT_FACTOR,1
SYMBOL_SPACING,3
DASHED_LINES,1
MARGIN,0
DATA
ANAIGN,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0
TRIVAG,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,1
TRIMAR,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
MONEXI,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0
PARPYR,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1
BARSPE,1,1,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0
CARMEM,1,1,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0
DYSBRE,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0
GIAINT,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
SPISAL,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
TRESPE,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ANDGOD,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0
STYINC,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0
PHAKIR,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,1,1
NEODAM,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1
