DATASET_BINARY
SEPARATOR COMMA
DATASET_LABEL,condensin II
COLOR,#C70039
FIELD_LABELS,CAPH2,CAPG2,CAPD3
FIELD_COLORS,#C70039,#C70039,#C70039
FIELD_SHAPES,1,1,1
LEGEND_SHAPES,1,1,1
LEGEND_TITLE,condensin II
LEGEND_COLORS,#C70039,#C70039,#C70039
LEGEND_LABELS,CAPH2,CAPG2,CAPD3
SHOW_LABELS,1
SIZE_FACTOR,1
LABEL_ROTATION,0
HEIGHT_FACTOR,1
SYMBOL_SPACING,3
DASHED_LINES,1
MARGIN,0
DATA
ANAIGN,1,1,1
TRIVAG,1,1,1
TRIMAR,0,0,0
MONEXI,1,1,1
PARPYR,1,1,1
BARSPE,1,1,0
CARMEM,1,1,1
DYSBRE,1,0,0
GIAINT,1,1,1
SPISAL,1,1,0
TRESPE,1,1,0
ANDGOD,1,1,1
STYINC,1,1,1
PHAKIR,0,0,0
NEODAM,1,1,1
NAEFOW,0,0,0
PERSWS,0,0,1
ENTSUL,1,1,1
EUGLON,1,1,1
HEMPHA,1,1,1
RHYHUM,1,1,1
PAPANK,0,0,0
APISPI,0,0,0
PERSPE,0,0,0
BODSAL,0,0,0
LEIMAJ,0,0,0
TRYBRU,0,0,0
ANCTWI,1,1,1
HEMKUK,0,0,1
SPISPE,0,0,1
NUTLON,1,1,1
FABTRO,1,0,0
GEFOKE,1,1,1
RIGRAM,1,1,1
DIPROT,1,1,1
MANSPH,1,1,1
ARCINT,1,1,1
VERVER,1,1,1
ACACAS,1,1,1
ENTHIS,0,0,0
MASBAL,1,1,1
PLAFUN,1,1,1
PHYPOL,1,1,1
DICDIS,1,1,1
POLPAL,1,1,1
LENLIM,1,1,0
PYGBIF,1,1,1
THETRA,1,1,1
PARATL,1,1,1
ROZALL,0,0,0
ENCINT,0,0,0
VAVCUL,0,0,0
PARTRI,0,0,0
SPIPUN,0,0,0
GONPRO,1,1,1
NEOSPE,0,0,0
ALLMAC,0,0,0
COEREV,0,0,0
RAMBRE,0,0,0
MORVER,0,0,0
UMBRAM,0,0,0
SYNPLU,0,0,0
BASMER,0,0,0
RHIIRR,0,0,0
USTMAY,0,0,0
AGABIS,0,0,0
CRYNEO,0,0,0
SCHPOM,0,0,0
NEUCRA,0,0,0
SACCER,0,0,0
CHRPER,1,1,1
CREFRA,0,0,0
CAPOWC,1,1,1
DIAGRA,1,1,1
MONBRE,1,1,1
SALKVE,1,1,1
LEUCOM,1,1,1
MNELEI,1,1,1
NEMVEC,1,1,1
TRIADH,1,1,1
ACAPLA,1,1,1
CIOINT,1,1,1
BRABEL,1,1,1
DANRER,1,1,1
HOMSAP,1,1,1
IXOSCA,1,1,1
DAPMAG,1,1,1
BOMMOR,1,0,1
DROMEL,1,0,1
SCHMAN,0,0,0
CRAGIG,1,1,1
RAMVAR,1,1,1
PRIPAC,1,1,1
STRRAT,1,1,1
CAEELE,1,1,1
PICSPE,1,0,1
MICMAR,1,1,1
PALBIL,1,1,1
GONPAC,1,0,0
GUITHE,1,1,1
BAFFRI,1,1,1
GEMCRY,1,1,1
DIALUT,1,1,1
GEPOCE,1,1,1
PRYPAR,0,0,0
CHOSPE,1,0,0
PTESPE,0,0,0
ACASPE,1,1,1
RAPHET,1,0,0
RHOMAR,1,1,1
MADERY,1,1,1
CYAMER,1,1,1
GALSUL,0,0,0
RUSMAR,0,0,0
GRACHO,1,1,1
PORPUR,1,1,1
CYAGLO,0,0,0
CYAPAR,1,1,1
GLOWIT,0,0,0
CHLATM,0,0,0
KLENIT,1,1,1
CHABRA,1,1,1
MARPOL,1,1,1
PHYPAT,0,0,0
CYCPAN,1,1,1
ARATHA,1,1,1
SORBIC,1,1,1
PRACOL,1,1,1
MICSPE,0,0,0
OSTTAU,0,0,0
NEPPYR,1,1,1
CHLVAR,0,0,0
COCSUB,1,1,1
CAULEN,0,0,0
CHLREI,1,1,1
MONNEG,1,1,1
TELSPE,1,0,1
TELSUB,0,1,1
ELPMAR,0,0,0
LEPVOR,1,1,1
PLABRA,0,0,0
LAPGUS,1,0,1
BREMOT,1,0,0
BIGNAT,1,1,1
MATSPE,1,1,1
PAUCHR,1,1,1
BICSPE,0,0,0
HALSEO,1,1,1
HALSPE,0,0,0
PLATAR,1,1,1
MASSPE,0,0,0
AURLIM,1,1,1
HONFER,1,1,1
HYPCAT,1,1,1
PHYINF,1,1,1
SAPDIC,1,1,1
PHATRI,1,1,1
NANOCE,1,1,1
CHASUB,1,0,0
CLAOKA,1,1,1
COLSPE,1,1,1
COLVIE,1,0,0
STECOE,0,0,0
STEHIS,0,0,0
PARTET,0,0,0
PSEPER,0,0,0
TETTHE,0,0,0
PERMAR,1,1,1
HEMSPE,1,1,1
CRYCOH,1,1,1
SYMSPE,0,0,0
CHRVEL,0,1,1
VITBRA,1,1,1
TOXGON,1,1,1
CRYMUR,1,1,1
PLAFAL,1,1,1
THEPAR,0,0,0
