LABELS
SEPARATOR TAB
DATA
ANAIGN	Anaeramoeba ignava
TRIVAG	Trichomonas vaginalis
TRIMAR	Trimastix marina
MONEXI	Monocercomoides exilis
PARPYR	Paratrimastix pyriformis
BARSPE	Barthelona sp PAP020
CARMEM	Carpediemonas membranifera
DYSBRE	Dysnectes brevis
GIAINT	Giardia intestinalis
SPISAL	Spironucleus salmonicida
TRESPE	Trepomonas sp.
ANDGOD	Andalucia godoyi
JAKBAH	Jakoba bahamiensis
PHAKIR	Pharyngomonas kirbyi
SECSPE	Seculamonas sp.
NEODAM	Neovahlkampfia damariscottae
NAEFOW	Naegleria fowleri
PERSWS	Percolomonas sp WS
ENTSUL	Entosiphon sulcatum
EUGLON	Euglena longa
HEMPHA	Hemistasia phaeocysticola
RHYHUM	Rhynchopus humris
PAPANK	Papus ankaliazontas
APISPI	Apiculatamorpha spiralis
PERSPE	Perkinsela sp. CCAP 1560/4
BODSAL	Bodo saltans
LEIMAJ	Leishmania major
TRYBRU	Trypanosoma brucei
ANCTWI	Ancoracysta twista
HEMKUK	Hemimastix kukwesjijk
SPISPE	Spironema sp BW2
NUTLON	Nutomonas longa
PLAMIC	Planomonas micra
GEFOKE	Gefionella okellyi (strain 249)
MALCAL	Malawimonas californiana
MALJAK	Malawimonas jakobiformis
MANPLA	Mantamonas plastica
DIPROT	Diphylleia rotans
RIGRAM	Rigifila ramosa
ARCINT	Arcella intermedia
VERVER	Vermamoeba vermiformis
ACACAS	Acanthamoeba castellanii
ENTHIS	Entamoeba histolytica HM-1:IMSS
MASBAL	Mastigamoeba balamuthi
PLAFUN	Planoprotostelium fungivorum
PHYPOL	Physarum polycephalum
DICDIS	Dictyostelium discoideum
POLPAL	Polysphondylium pallidum PN500
LENLIM	Lenisia limosa
PYGBIF	Pygsuia biforma
THETRA	Thecamonas trahens
PARATL	Parvularia atlantis
ROZALL	Rozella allomycis
ENCINT	Encephalitozoon intestinalis ATCC 50506
VAVCUL	Vavraia culicis floridensis
PARTRI	Paraphelidium tribonemae
SPIPUN	Spizellomyces punctatus
GONPRO	Gonapodya prolifera
NEOSPE	Neocallimastix sp G1
ALLMAC	Allomyces macrogynus
COEREV	Coemansia reversa
RAMBRE	Ramicandelaber brevisporus CBS 109374
MORVER	Mortierella verticillata NRRL 6337
UMBRAM	Umbelopsis ramanniana
SYNPLU	Syncephalis plumigaleata NRRL S24 v1.0
BASMER	Basidiobolus meristosporus B9252
RHIIRR	Rhizophagus irregularis
USTMAY	Ustilago maydis
AGABIS	Agaricus bisporus
CRYNEO	Cryptococcus neoformans
SCHPOM	Schizosaccharomyces pombe
NEUCRA	Neurospora crassa
SACCER	Saccharomyces cerevisiae
CHRPER	Chromosphaera perkinsii
CREFRA	Creolimax fragrantissima
CAPOWC	Capsaspora owczarzaki
DIAGRA	Diaphanoeca grandis
MONBRE	Monosiga brevicollis
SALKVE	Salpingoeca kvevrii
LEUCOM	Leucosolenia complicata
MNELEI	Mnemiopsis leidyi
NEMVEC	Nematostella vectensis
TRIADH	Trichoplax adhaerens
ACAPLA	Acanthaster planci
CIOINT	Ciona intestinalis
BRABEL	Branchiostoma belcheri
DANRER	Danio rerio
HOMSAP	Homo sapiens
IXOSCA	Ixodes scapularis
DAPMAG	Daphnia magna
BOMMOR	Bombyx mori
DROMEL	Drosophila melanogaster
SCHMAN	Schistosoma mansoni
CRAGIG	Crassostrea gigas
RAMVAR	Ramazzottius varieornatus
PRIPAC	Pristionchus pacificus
STRRAT	Strongyloides ratti
PICSPE	Picozoa_sp_COSAG02
MICMAR	Microheliella maris
PALBIL	Palpitomonas bilix
GONPAC	Goniomonas pacifica
GUITHE	Guillardia theta
BAFFRI	Baffinella frigidus
GEMCRY	Geminigera cryophila
DIALUT	Diacronema lutheri
GEPOCE	Gephyrocapsa oceanica
PRYPAR	Prymnesium parvum
CHOSPE	Choanocystis sp HF-7
PTESPE	Pterocystis sp 00344
ACASPE	Acanthocystis sp HF-20
RAPHET	Raphidiophrys heterophryoidea
RHOMAR	Rhodelphis marinus
MADERY	Madagascaria erythrocladioides
CYAMER	Cyanidioschyzon merolae
GALSUL	Galdieria sulphuraria
RUSMAR	Rhodosorus marinus
GRACHO	Gracilariopsis chorda
PORPUR	Porphyridium purpureum
CYAGLO	Cyanoptyche gloeocystis
CYAPAR	Cyanophora paradoxa
GLOWIT	Gloeochaete wittrockiana
CHLATM	Chlorokybus atmophyticus
KLENIT	Klebsormidium nitens
CHABRA	Chara braunii
MARPOL	Marchantia polymorpha
CYCPAN	Cycas panzhihuaensis
ARATHA	Arabidopsis thaliana
SORBIC	Sorghum bicolor
PRACOL	Prasinoderma coloniale
MICSPE	Micromonas species RCC299
OSTTAU	Ostreococcus tauri
NEPPYR	Nephroselmis pyriformis
CHLVAR	Chlorella variabilis
COCSUB	Coccomyxa subellipsoidea
CAULEN	Caulerpa lentillifera
CHLREI	Chlamydomonas reinhardtii
MONNEG	Monoraphidium neglectum
TELSPE	Telonema sp P-2
TELSUB	Telonema subtile
ELPMAR	Elphidium margaritaceum
LEPVOR	Leptophrys vorax
PLABRA	Plasmodiophora brassicae
LAPGUS	Lapot gusevi
BREMOT	Brevimastigomonas motovehiculus
BIGNAT	Bigelowiella natans
MATSPE	Mataza sp D1
PAUCHR	Paulinella chromatophora
BICSPE	Bicosoecida sp ms1
HALSEO	Halocafeteria seosinensis
HALSPE	Haloplacidia sp CaronLabIsolate
PLATAR	Platysulcus tardus
MASSPE	MAST-04A sp MAST-4A-sp1
AURLIM	Aurantiochytrium limacinum
HONFER	Hondaea fermentalgiana
HYPCAT	Hyphochytrium catenoides
PHYINF	Phytophthora infestans
SAPDIC	Saprolegnia diclina
PHATRI	Phaeodactylum tricornutum
NANOCE	Nannochloropsis oceanica
CHASUB	Chattonella subsalsa
CLAOKA	Cladosiphon okamuranus
COLSPE	Colponemidia sp Colp-10
COLVIE	Colponemida vietnamica
STECOE	Stentor coeruleus
OXYTRI	Oxytricha trifallax
STEHIS	Sterkiella histriomuscorum
PARTET	Paramecium tetraurelia
PSEPER	Pseudocohnilembus persalinus
TETTHE	Tetrahymena thermophila
PERMAR	Perkinsus marinus
HEMSPE	Hematodinium sp SG-2012
CRYCOH	Crypthecodinium cohnii
SYMSPE	Symbiodinium sp Y106
CHRVEL	Chromera velia
VITBRA	Vitrella brassicaformis
TOXGON	Toxoplasma gondii
CRYMUR	Cryptosporidium muris RN66
PLAFAL	Plasmodium falciparum
THEPAR	Theileria parva
