DATASET_BINARY
SEPARATOR TAB
DATASET_LABEL	Cohesin
COLOR	#3362FF
FIELD_LABELS	SMC1	SMC3	Scc1	Rec8	Scc3	PDS5	NIPBL	MAU2	Separase	WAPL	Eco1	Securin	CTCF	DYAD	Haspin
FIELD_COLORS	#3362FF	#3362FF	#3362FF	#3362FF	#3362FF	#3362FF	#3362FF	#3362FF	#3362FF	#3362FF	#3362FF	#3362FF	#3362FF	#3362FF	#3362FF	
FIELD_SHAPES	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
LEGEND_SHAPES	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
LEGEND_TITLE	Cohesin
LEGEND_COLORS	#3362FF	#3362FF	#3362FF	#3362FF	#3362FF	#3362FF	#3362FF	#3362FF	#3362FF	#3362FF	#3362FF	#3362FF	#3362FF	#3362FF	#3362FF	
LEGEND_LABELS	SMC1	SMC3	Scc1	Rec8	Scc3	PDS5	NIPBL	MAU2	Separase	WAPL	Eco1	Securin	CTCF	DYAD	Haspin
DATA
ANAIGN	1	1	0	1	1	1	1	0	1	0	0	0	0	0	0
TRIVAG	1	1	0	1	1	1	1	0	1	0	0	0	0	0	0
TRIMAR	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0
MONEXI	1	1	0	1	1	1	1	0	1	0	0	0	0	0	0
PARPYR	1	1	1	1	1	1	1	0	1	1	1	0	0	0	0
BARSPE	1	1	0	1	1	1	0	0	1	0	1	0	0	0	0
CARMEM	1	1	0	1	1	0	1	0	1	0	1	0	0	0	0
DYSBRE	1	1	1	1	1	1	0	0	1	0	0	0	0	0	0
GIAINT	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0
SPISAL	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
TRESPE	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ANDGOD	1	1	1	1	1	1	1	0	1	1	1	0	0	0	0
STYINC	1	1	1	0	1	1	1	1	1	1	1	0	0	0	0
PHAKIR	1	1	1	0	1	1	1	1	1	1	1	0	0	0	1
NEODAM	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1
NAEFOW	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0
PERSWS	1	1	1	1	1	1	1	1	0	1	0	0	0	0	1
ENTSUL	1	1	1	0	1	1	1	0	1	0	1	0	0	0	0
EUGLON	1	1	1	0	1	1	1	1	1	1	1	1	0	0	0
HEMPHA	1	1	1	0	1	1	1	0	1	1	1	0	0	0	0
RHYHUM	1	1	1	0	1	1	1	1	1	0	1	0	0	0	0
PAPANK	1	1	1	0	1	1	1	1	1	1	1	1	0	0	0
APISPI	1	1	1	0	1	1	1	1	1	1	1	0	0	0	0
PERSPE	1	1	1	0	1	1	0	1	1	0	1	0	0	0	0
BODSAL	1	1	1	0	1	1	1	1	1	1	0	0	0	0	0
LEIMAJ	1	1	1	0	1	1	1	0	1	1	1	0	0	0	0
TRYBRU	1	1	1	0	1	1	1	0	1	1	1	0	0	0	0
ANCTWI	1	1	1	0	0	1	0	0	1	1	1	1	0	0	0
HEMKUK	0	1	1	1	0	0	0	0	1	0	0	1	0	0	0
SPISPE	1	1	1	0	0	0	0	0	0	1	0	1	0	0	0
NUTLON	1	1	1	1	1	1	1	1	1	0	1	1	0	0	0
FABTRO	1	1	1	1	0	1	1	1	0	0	0	0	0	0	0
GEFOKE	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0
RIGRAM	1	1	1	1	1	1	1	1	0	1	1	0	0	0	0
DIPROT	1	1	1	0	1	1	1	1	1	1	1	1	0	0	0
MANSPH	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0
ARCINT	1	1	1	1	1	1	1	1	1	0	1	0	0	0	1
VERVER	1	1	1	0	1	1	1	1	1	0	0	1	0	0	1
ACACAS	1	1	1	0	1	1	1	1	1	1	1	1	0	0	1
ENTHIS	1	1	1	0	1	1	1	0	1	0	1	0	0	0	1
MASBAL	1	1	1	0	1	1	1	0	1	1	1	1	0	0	1
PLAFUN	1	1	1	0	1	1	1	0	1	1	1	1	0	0	1
PHYPOL	1	1	0	0	1	1	1	1	1	1	1	1	0	0	1
DICDIS	1	1	1	0	1	1	1	1	1	1	1	0	0	0	1
POLPAL	1	1	1	0	1	1	1	1	1	1	1	0	0	0	1
LENLIM	1	1	1	1	1	0	0	0	0	1	0	0	0	0	0
PYGBIF	1	1	1	1	1	0	1	1	1	1	0	0	0	0	0
THETRA	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0
PARATL	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1
ROZALL	1	1	1	0	1	1	1	1	1	0	0	0	0	0	0
ENCINT	1	1	0	1	1	0	0	0	1	0	0	0	0	0	1
VAVCUL	1	0	0	1	0	0	0	0	1	0	0	0	0	0	1
PARTRI	1	1	1	0	1	1	1	0	1	0	1	0	0	0	1
SPIPUN	1	1	1	0	1	1	1	1	1	1	1	1	0	0	1
GONPRO	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1
NEOSPE	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1
ALLMAC	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1
COEREV	1	1	1	1	0	1	1	1	1	1	1	1	0	0	1
RAMBRE	0	1	1	1	1	1	1	1	0	0	1	1	0	0	1
MORVER	1	1	1	1	1	1	1	1	1	1	0	1	0	0	1
UMBRAM	1	1	1	1	1	1	1	1	1	0	1	1	0	0	0
SYNPLU	1	1	1	0	1	1	1	1	1	1	1	1	0	0	1
BASMER	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0
RHIIRR	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1
USTMAY	1	1	1	1	1	1	1	0	1	1	1	1	0	0	1
AGABIS	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1
CRYNEO	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1
SCHPOM	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1
NEUCRA	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1
SACCER	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1
CHRPER	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1
CREFRA	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1
CAPOWC	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1
DIAGRA	1	1	1	0	1	1	1	0	1	1	1	1	0	0	1
MONBRE	0	1	1	1	1	1	1	0	1	1	1	1	0	0	1
SALKVE	1	1	1	0	1	1	1	0	1	1	1	1	0	0	1
LEUCOM	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1
MNELEI	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1
NEMVEC	1	1	1	0	0	1	0	1	1	1	1	1	0	0	1
TRIADH	1	1	1	0	1	1	1	1	0	1	1	1	0	0	1
ACAPLA	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1
CIOINT	1	1	1	1	1	1	1	0	1	1	1	0	1	0	1
BRABEL	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1
DANRER	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1
HOMSAP	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1
IXOSCA	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1
DAPMAG	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0
BOMMOR	1	1	1	0	1	1	1	1	1	1	1	0	1	0	1
DROMEL	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1
SCHMAN	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1
CRAGIG	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1
RAMVAR	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1
PRIPAC	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1
STRRAT	1	1	1	0	1	1	1	1	1	1	1	0	0	0	1
CAEELE	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1
PICSPE	1	1	1	0	1	1	1	1	1	1	1	1	0	0	0
MICMAR	1	1	1	1	1	1	1	1	0	1	1	1	0	0	0
PALBIL	1	0	1	0	0	0	0	0	1	0	0	1	0	0	1
GONPAC	1	1	1	1	1	1	1	0	1	1	1	1	0	0	0
GUITHE	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0
BAFFRI	1	1	1	0	1	1	1	1	1	1	1	0	0	0	0
GEMCRY	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0
DIALUT	1	1	1	1	1	1	1	0	1	0	1	1	0	0	0
GEPOCE	1	1	1	0	1	1	1	0	1	1	0	1	0	0	0
PRYPAR	1	1	1	0	1	0	1	0	0	1	0	0	0	0	0
CHOSPE	1	1	1	0	1	1	1	1	1	1	1	0	0	0	0
PTESPE	0	0	1	0	0	1	1	1	0	1	1	0	0	0	0
ACASPE	1	1	1	0	1	1	1	1	1	1	0	0	0	0	0
RAPHET	1	1	1	0	0	1	1	1	1	1	1	1	0	0	0
RHOMAR	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1
MADERY	1	1	1	1	1	1	1	1	0	0	0	0	0	0	1
CYAMER	1	1	1	1	1	1	0	0	1	1	1	0	0	0	0
GALSUL	1	1	1	1	1	1	1	0	1	1	1	1	0	0	0
RUSMAR	1	1	1	1	1	1	1	0	1	0	0	1	0	0	0
GRACHO	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0
PORPUR	1	1	1	1	1	1	1	0	1	1	1	1	0	0	0
CYAGLO	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
CYAPAR	1	1	1	1	1	1	1	1	0	1	1	1	0	0	0
GLOWIT	1	1	1	0	1	1	1	1	1	1	1	1	0	0	0
CHLATM	1	1	1	1	1	1	1	1	1	1	0	0	0	0	1
KLENIT	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1
CHABRA	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1
MARPOL	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1
PHYPAT	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1
CYCPAN	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1
ARATHA	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1
SORBIC	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1
PRACOL	1	1	1	1	0	0	0	0	0	0	1	0	0	0	1
MICSPE	1	1	1	0	1	1	1	1	0	1	1	0	0	0	1
OSTTAU	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1
NEPPYR	1	1	1	0	1	1	1	1	0	1	0	1	0	0	1
CHLVAR	1	1	1	0	1	1	1	1	1	1	1	0	0	1	1
COCSUB	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1
CAULEN	1	1	1	0	1	1	1	0	1	0	1	0	0	0	1
CHLREI	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1
MONNEG	1	1	1	0	1	1	1	1	1	1	1	0	0	0	1
TELSPE	1	1	1	1	1	1	1	0	1	1	1	0	0	0	0
TELSUB	1	1	1	0	1	1	1	0	1	1	1	1	0	0	0
ELPMAR	1	1	1	1	1	1	1	0	1	1	1	1	0	0	0
LEPVOR	1	1	1	1	1	1	1	0	1	1	1	1	0	0	0
PLABRA	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0
LAPGUS	1	1	1	1	1	1	0	0	1	0	1	1	0	0	0
BREMOT	0	1	1	0	0	1	0	1	0	0	0	1	0	0	0
BIGNAT	1	0	1	1	1	1	1	1	1	1	1	1	0	0	0
MATSPE	1	1	1	0	1	1	1	0	1	1	1	1	0	0	0
PAUCHR	1	1	1	0	1	1	1	0	1	1	1	1	0	0	0
BICSPE	1	1	1	0	1	1	1	0	0	1	1	0	0	0	0
HALSEO	1	1	1	0	1	1	1	0	1	1	1	0	0	0	0
HALSPE	1	1	1	0	1	1	1	0	0	0	0	0	0	0	0
PLATAR	1	1	1	0	1	1	1	0	1	1	1	1	0	0	0
MASSPE	1	1	1	0	1	1	1	0	1	1	0	0	0	0	1
AURLIM	1	1	1	0	1	1	1	0	1	1	1	1	0	0	0
HONFER	1	1	1	0	1	1	1	0	1	1	1	1	0	0	0
HYPCAT	1	1	1	0	1	1	1	1	1	1	1	1	0	0	0
PHYINF	1	1	1	0	1	1	1	1	1	1	1	1	0	0	0
SAPDIC	1	1	1	0	1	1	1	1	1	1	1	1	0	0	0
PHATRI	1	1	1	0	1	1	1	0	1	1	1	1	0	0	0
NANOCE	1	1	1	0	1	1	1	0	1	1	1	1	0	0	0
CHASUB	1	1	1	0	1	0	1	0	0	0	1	1	0	0	0
CLAOKA	1	1	1	0	1	1	1	0	1	1	1	0	0	0	0
COLSPE	1	1	1	0	1	1	1	1	1	1	1	1	0	0	0
COLVIE	1	1	1	0	1	1	1	0	1	1	1	0	0	0	0
STECOE	0	1	0	1	1	1	1	0	1	0	0	0	0	0	0
STEHIS	1	1	1	1	1	0	1	0	1	1	0	0	0	0	0
PARTET	1	1	0	0	1	0	1	0	1	0	0	0	0	0	0
PSEPER	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0
TETTHE	1	1	0	1	1	1	1	0	1	0	0	0	0	0	0
PERMAR	1	1	0	1	1	0	0	0	1	0	0	0	0	0	0
HEMSPE	1	1	1	0	1	1	1	0	0	0	0	0	0	0	0
CRYCOH	1	1	1	1	1	1	1	0	1	0	1	0	0	0	0
SYMSPE	1	1	1	1	1	1	1	0	1	0	1	1	0	0	0
CHRVEL	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0
VITBRA	1	1	1	1	1	1	1	0	1	1	1	0	0	0	0
TOXGON	1	1	0	1	1	0	1	0	1	0	0	0	0	0	0
CRYMUR	1	1	1	1	1	0	1	0	1	0	0	0	0	0	0
PLAFAL	1	1	0	1	1	0	1	0	1	0	0	0	0	0	0
THEPAR	1	1	0	1	1	0	1	0	0	0	0	0	0	0	0
