Abbreviation,Taxonomy ID,relevant taxonomy,Scientific name,Lineage.set,BUSCO_completeness,BUSCO_single,BUSCO_duplicated,BUSCO_fragmented,BUSCO_missing,PreLECASubset,Download location,Ref,Download date proteome,fasta_header_type,proteome_fasta_file,Genome/transcriptome,Genome_location,SMC2,SMC4,CAPH,CAPG,CAPD2,CAPH2,CAPG2,CAPD3,SMC1,SMC3,Scc1,Rec8,Scc3,PDS5,NIPBL,MAU2,WAPL,Eco1,Securin,Sororin,Haspin,Shugoshin,Separase,CTCF,SMC5,SMC6,Nse4,Nse1,Nse3,Nse2,Nse5,Nse6
ANAIGN,1746090,Metamonada,Anaeramoeba ignava,eukaryota_odb10,63.33333333,,,14.44444444,22.22222222,True,EukProt,,20220328,eukprot,EP01156_Anaeramoeba_ignava.fasta,transcriptome,,ANAIGN002024,ANAIGN012750;ANAIGN023063;ANAIGN005667,ANAIGN000192;ANAIGN007459,ANAIGN_repredicted,ANAIGN_repredicted,ANAIGN022335;ANAIGN007502;ANAIGN011011;ANAIGN011012,ANAIGN_repredicted,ANAIGN019143;ANAIGN004260;ANAIGN006277,ANAIGN017074;ANAIGN002346,ANAIGN020472;ANAIGN011424;ANAIGN023403;ANAIGN013838,,ANAIGN005261,ANAIGN006462;ANAIGN002045;ANAIGN003995,ANAIGN019811,ANAIGN024160;ANAIGN015981;ANAIGN011902;ANAIGN000759,,,,,,,,ANAIGN007095;ANAIGN008175;ANAIGN008717;ANAIGN011473;ANAIGN018819,,ANAIGN007378;ANAIGN022555;ANAIGN022556,ANAIGN017957,ANAIGN004643;ANAIGN004629,ANAIGN014118;ANAIGN016437,ANAIGN012057,ANAIGN006560,,
TRIVAG,5722,Metamonada,Trichomonas vaginalis,eukaryota_odb10,59.86622074,,,5.016722408,35.11705686,False,ftp://ftp.ensemblgenomes.org:21/pub/release-34/protists/fasta/protists_parabasalia1_collection/trichomonas_vaginalis_g3/pep/Trichomonas_vaginalis_g3.ASM282v1.pep.all.fa.gz,,euk4,ensembl,Trichomonas_vaginalis_g3.ASM282v1.pep.all.fa,genome,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/839/685/GCA_001839685.1_ASM183968v1/GCA_001839685.1_ASM183968v1_genomic.fna.gz,TRIVAG045617,TRIVAG010936;TRIVAG040110,,,,TRIVAG019276,TRIVAG020586,TRIVAG013402;TRIVAG056503;TRIVAG004982,TRIVAG011465;TRIVAG031999;TRIVAG011505,TRIVAG035034;TRIVAG052252;TRIVAG021614,,TRIVAG035761;TRIVAG030915,TRIVAG046554;TRIVAG008370,TRIVAG055318,TRIVAG047898;TRIVAG054235,,,,,,,TRIVAG039504;TRIVAG029980,TRIVAG047383,,TRIVAG046045;TRIVAG052753,TRIVAG038308,TRIVAG007467;TRIVAG020901,TRIVAG055303,TRIVAG049930;TRIVAG040473,TRIVAG004070,,
TRIMAR,137419,Metamonada,Trimastix marina,eukaryota_odb10,45.97701149,,,5.363984674,48.65900383,True,EukProt,,20220328,eukprot,EP00771_Trimastix_marina.fasta,transcriptome,,,TRIMAR003318,,TRIMAR001511,,,,,,TRIMAR001020,,,TRIMAR002309,,,,,,TRIMAR003401,,,,,,TRIMAR002317,TRIMAR002988,,TRIMAR002709,TRIMAR004109,TRIMAR000983,,
MONEXI,2049356,Metamonada,Monocercomoides exilis,eukaryota_odb10,58.67158672,,,7.380073801,33.94833948,True,EukProt,,20220328,eukprot,EP00770_Monocercomonoides_exilis.fasta,genome,https://giardiadb.org/common/downloads/Current_Release/MexilisPA203/fasta/data/GiardiaDB-58_MexilisPA203_Genome.fasta  ,MONEXI003635,MONEXI011800;MONEXI007028,MONEXI011310,MONEXI000584,MONEXI006984,MONEXI003923,MONEXI005022,MONEXI010663,MONEXI013555,MONEXI008068,,MONEXI002784;MONEXI001711;MONEXI005964;MONEXI006876,MONEXI009892,MONEXI012146;MONEXI003616,MONEXI004305,,,,,,,,MONEXI004169,,MONEXI007968,MONEXI001291,MONEXI011222,MONEXI001980,MONEXI000625,,,
PARPYR,342808,Metamonada,Paratrimastix pyriformis,eukaryota_odb10,66.92607004,,,10.11673152,22.95719844,False,https://zenodo.org/record/6405158/files/Paratrimastix_pyriformis_predicted_proteome.txt?download=1,,20221205,generic,Paratrimastix_pyriformis_predicted_proteome.txt,genome,,PARPYR005155,PARPYR003644;PARPYR003643,PARPYR002600,PARPYR_fused,PARPYR_fused,PARPYR010961,PARPYR008000,PARPYR000735,PARPYR010274;PARPYR010537;PARPYR010272,PARPYR001953,PARPYR002292;PARPYR002293,PARPYR005833,PARPYR006163,PARPYR000276,PARPYR011849,,PARPYR005972,PARPYR000353,,,,PARPYR008058,PARPYR008343,,PARPYR000169,PARPYR002547;PARPYR002549;PARPYR002546,PARPYR008512,PARPYR004295,PARPYR008006,PARPYR003834,,
BARSPE,2654831,Metamonada,Barthelona sp PAP020,eukaryota_odb10,47.19101124,,,7.116104869,45.6928839,False,EukProt,,20220328,eukprot,EP00792_Barthelona_sp_PAP020.fasta,transcriptome,,BARSPE008576,BARSPE005851;BARSPE005484,BARSPE012307,,BARSPE013999,BARSPE002268,BARSPE004953,BARSPE005065,BARSPE004269,BARSPE006546,,BARSPE005539;BARSPE014046,BARSPE001077,BARSPE008622,,,,BARSPE012604,,,,,BARSPE000396;BARSPE010637,,BARSPE005023,BARSPE012187,,,,,,
CARMEM,201153,Metamonada,Carpediemonas membranifera,eukaryota_odb10,51.43884892,,,11.8705036,36.69064748,False,EukProt,,20220328,eukprot,EP01146_Carpediemonas_membranifera.fasta,genome,ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/828/565/GCA_019828565.1_ASM1982856v1/GCA_019828565.1_ASM1982856v1_genomic.fna.gz,CARMEM006925,CARMEM004170,CARMEM007797,CARMEM003594,CARMEM001697,CARMEM003747,CARMEM001633,CARMEM007970,CARMEM000730,CARMEM008251,,CARMEM006670;CARMEM006259;CARMEM002732;CARMEM002467;CARMEM004086,CARMEM000530,,CARMEM001430,,,CARMEM003607,,,,,CARMEM001408,,CARMEM003171;CARMEM008266,CARMEM000427,CARMEM004045,CARMEM004435,,CARMEM003135,,
DYSBRE,391066,Metamonada,Dysnectes brevis,eukaryota_odb10,32.15686275,,,12.94117647,54.90196078,False,EukProt,,20220328,eukprot,EP00768_Dysnectes_brevis.fasta,transcriptome,,DYSBRE006159,DYSBRE004155,DYSBRE006870;DYSBRE007082,,DYSBRE009222,DYSBRE001734;DYSBRE006943,,DYSBRE001844,DYSBRE004001,DYSBRE003482;DYSBRE000603;DYSBRE004463,DYSBRE007245;DYSBRE007064,DYSBRE007566,DYSBRE005526,DYSBRE007217,,,,,,,,,DYSBRE008070,,DYSBRE006688;DYSBRE008094;DYSBRE006557,DYSBRE004915,DYSBRE008001,,,,,
GIAINT,5741,Metamonada,Giardia intestinalis,eukaryota_odb10,24.80620155,,,5.813953488,69.37984496,False,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/435/GCF_000002435.2_UU_WB_2.1/GCF_000002435.2_UU_WB_2.1_protein.faa.gz,,20220419,gcf,GCF_000002435.2_UU_WB_2.1_protein.faa,genome,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/435/GCF_000002435.2_UU_WB_2.1/GCF_000002435.2_UU_WB_2.1_genomic.fna.gz,GIAINT003027,GIAINT002911,GIAINT002915,,GIAINT004364,GIAINT004731,GIAINT004303,GIAINT004432,GIAINT001053,GIAINT003873,GIAINT004798;GIAINT002854,,,,,,,,,,,,GIAINT002394,,GIAINT004473,GIAINT000295,,,,,,
SPISAL,348837,Metamonada,Spironucleus salmonicida,eukaryota_odb10,18.82352941,,,6.666666667,74.50980392,False,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/497/125/GCA_000497125.2_ASM49712v2/GCA_000497125.2_ASM49712v2_protein.faa.gz,,20220419,gcf,GCA_000497125.2_ASM49712v2_protein.faa,genome,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/497/125/GCA_000497125.2_ASM49712v2/GCA_000497125.2_ASM49712v2_genomic.fna.gz,SPISAL000829,SPISAL006457,SPISAL005110,,SPISAL003031,SPISAL005849,SPISAL004040,SPISAL007142,SPISAL001236,SPISAL007373,SPISAL004986;SPISAL006179,,,,,,,,,,,,SPISAL006351,,SPISAL001354,SPISAL000882,,,,,,
