DATASET_BINARY
SEPARATOR COMMA
DATASET_LABEL,SMC5/6
COLOR,#A633FF
FIELD_LABELS,SMC5,SMC6,Nse4,Nse1,Nse3,Nse2,Nse5,Nse6
FIELD_COLORS,#A633FF,#A633FF,#A633FF,#A633FF,#A633FF,#A633FF,#A633FF,#A633FF
FIELD_SHAPES,1,1,1,1,1,1,1,1
LEGEND_SHAPES,1,1,1,1,1,1,1,1
LEGEND_TITLE,SMC5/6
LEGEND_COLORS,#A633FF,#A633FF,#A633FF,#A633FF,#A633FF,#A633FF,#A633FF,#A633FF
LEGEND_LABELS,SMC5,SMC6,Nse4,Nse1,Nse3,Nse2,Nse5,Nse6
SHOW_LABELS,1
SIZE_FACTOR,1
LABEL_ROTATION,0
HEIGHT_FACTOR,1
SYMBOL_SPACING,3
DASHED_LINES,1
MARGIN,0
DATA
ANAIGN,1,1,1,1,1,1,0,0
TRIVAG,1,1,1,1,1,1,0,0
TRIMAR,1,1,0,1,1,1,0,0
MONEXI,1,1,1,1,1,0,0,0
PARPYR,1,1,1,1,1,1,0,0
BARSPE,1,1,0,0,0,0,0,0
CARMEM,1,1,1,1,0,1,0,0
DYSBRE,1,1,1,0,0,0,0,0
GIAINT,1,1,0,0,0,0,0,0
SPISAL,1,1,0,0,0,0,0,0
TRESPE,1,1,1,0,0,0,0,0
ANDGOD,1,1,1,1,1,1,0,0
STYINC,1,1,0,1,0,1,0,0
PHAKIR,1,1,1,1,1,1,0,0
NEODAM,1,1,1,1,1,1,0,0
NAEFOW,1,1,1,1,1,1,0,0
PERSWS,1,1,1,0,1,1,0,0
ENTSUL,1,1,1,0,1,1,0,0
EUGLON,1,1,1,1,1,1,0,1
HEMPHA,0,0,0,0,0,0,0,0
RHYHUM,0,0,0,0,0,0,0,0
PAPANK,0,0,0,0,0,0,0,0
APISPI,0,0,0,0,0,0,0,0
PERSPE,0,0,0,0,0,0,0,0
BODSAL,0,0,0,0,0,0,0,0
LEIMAJ,0,0,0,0,0,0,0,0
TRYBRU,0,0,0,0,0,0,0,0
ANCTWI,1,1,1,1,1,1,0,1
HEMKUK,0,0,0,1,0,0,1,1
SPISPE,0,0,0,0,0,0,1,0
NUTLON,1,1,1,1,1,1,0,1
FABTRO,1,1,0,1,0,0,0,0
GEFOKE,1,1,0,1,1,1,0,0
RIGRAM,1,1,1,1,1,1,0,1
DIPROT,1,1,1,1,1,1,0,1
MANSPH,1,1,1,1,1,1,0,0
ARCINT,1,1,1,1,1,1,0,1
VERVER,1,1,1,0,1,1,0,1
ACACAS,1,1,1,1,1,1,1,1
ENTHIS,1,1,1,1,1,1,0,0
MASBAL,1,1,1,1,0,1,0,1
PLAFUN,1,1,1,1,1,1,0,1
PHYPOL,1,1,1,1,1,1,1,1
DICDIS,1,1,1,1,1,1,0,1
POLPAL,1,1,1,1,1,1,0,1
LENLIM,1,1,1,1,1,1,0,0
PYGBIF,1,1,1,1,1,1,0,0
THETRA,1,1,1,1,1,1,0,1
PARATL,1,1,1,1,1,1,1,1
ROZALL,1,1,1,1,1,1,1,0
ENCINT,1,1,1,0,1,1,0,0
VAVCUL,1,1,1,0,1,1,0,0
PARTRI,1,1,1,1,0,0,0,0
SPIPUN,1,1,1,1,1,1,1,1
GONPRO,1,1,1,1,1,1,1,1
NEOSPE,1,1,1,1,1,1,1,1
ALLMAC,1,1,1,1,1,1,0,0
COEREV,1,0,1,1,1,1,1,1
RAMBRE,1,1,1,1,1,1,1,1
MORVER,1,1,1,1,1,1,0,1
UMBRAM,1,1,1,1,1,1,1,1
SYNPLU,1,1,1,1,1,1,1,0
BASMER,1,0,1,1,1,1,1,1
RHIIRR,1,1,1,1,1,1,1,1
USTMAY,1,1,1,1,1,1,0,1
AGABIS,1,1,1,0,1,1,0,1
CRYNEO,1,1,1,1,1,1,0,1
SCHPOM,1,1,1,1,1,1,1,1
NEUCRA,1,1,1,1,1,1,1,1
SACCER,1,1,1,1,1,1,1,1
CHRPER,1,1,1,1,1,1,1,1
CREFRA,1,1,1,1,1,1,1,1
CAPOWC,1,1,1,1,1,1,0,1
DIAGRA,1,1,1,1,1,1,1,1
MONBRE,1,1,1,1,0,0,0,1
SALKVE,1,1,1,1,1,1,1,1
LEUCOM,1,1,1,1,1,1,1,1
MNELEI,1,1,1,1,1,1,1,1
NEMVEC,0,1,1,1,1,1,0,1
TRIADH,1,1,1,1,1,1,1,1
ACAPLA,1,1,1,1,1,1,1,1
CIOINT,1,1,1,1,1,1,1,1
BRABEL,1,1,1,1,1,1,1,1
DANRER,1,1,1,1,1,1,1,1
HOMSAP,1,1,1,1,1,1,1,1
IXOSCA,1,1,1,1,1,1,0,0
DAPMAG,1,1,1,1,1,1,1,1
BOMMOR,1,1,1,1,1,1,0,0
DROMEL,1,1,1,1,1,1,1,0
SCHMAN,0,0,0,0,0,0,0,0
CRAGIG,1,1,1,1,1,1,1,1
RAMVAR,1,1,1,1,1,1,0,0
PRIPAC,1,1,1,1,1,1,0,0
STRRAT,0,0,0,0,0,0,0,0
CAEELE,1,1,1,1,1,1,0,0
PICSPE,1,1,1,0,1,0,1,1
MICMAR,1,1,1,1,1,1,0,0
PALBIL,1,1,1,1,1,1,0,0
GONPAC,1,1,0,1,1,1,0,1
GUITHE,1,1,1,1,1,0,0,1
BAFFRI,1,1,1,1,1,1,0,1
GEMCRY,1,1,1,1,1,0,0,1
DIALUT,1,1,1,1,1,1,0,0
GEPOCE,1,1,1,1,1,1,0,1
PRYPAR,1,1,1,1,1,1,0,1
CHOSPE,1,1,1,1,1,1,0,1
PTESPE,1,1,1,1,1,1,0,1
ACASPE,1,1,1,1,1,1,0,0
RAPHET,1,1,1,1,1,0,0,1
RHOMAR,1,1,1,1,1,1,0,1
MADERY,1,1,1,1,1,1,0,1
CYAMER,1,1,1,0,1,1,0,0
GALSUL,1,1,1,1,1,1,0,1
RUSMAR,1,1,0,1,1,0,0,1
GRACHO,1,1,1,1,1,1,0,1
PORPUR,1,1,1,1,1,1,0,0
CYAGLO,1,0,0,1,1,0,0,0
CYAPAR,1,1,1,1,1,1,0,1
GLOWIT,1,1,1,1,1,1,0,1
CHLATM,1,1,1,1,1,1,0,0
KLENIT,1,1,1,1,1,1,1,1
CHABRA,1,1,1,1,1,1,1,1
MARPOL,1,1,1,1,1,1,1,1
PHYPAT,1,1,1,1,1,1,1,1
CYCPAN,1,1,1,1,1,1,1,1
ARATHA,1,1,1,1,1,1,1,1
SORBIC,1,1,1,1,1,1,1,1
PRACOL,1,1,1,1,1,1,1,0
MICSPE,1,1,1,1,1,1,1,1
OSTTAU,1,1,1,1,1,1,1,1
NEPPYR,1,1,1,1,1,0,1,1
CHLVAR,1,1,1,1,1,0,0,0
COCSUB,1,1,1,1,1,1,1,0
CAULEN,1,1,1,0,1,1,0,0
CHLREI,1,1,1,1,1,1,1,1
MONNEG,1,1,1,1,1,1,1,1
TELSPE,0,0,0,0,0,0,0,0
TELSUB,0,0,0,0,0,0,0,0
ELPMAR,1,1,1,1,1,1,0,0
LEPVOR,1,1,1,1,1,1,1,1
PLABRA,1,1,1,1,1,1,0,1
LAPGUS,1,1,1,1,1,1,0,0
BREMOT,0,1,1,1,1,0,0,0
BIGNAT,1,1,1,1,1,1,0,1
MATSPE,1,1,1,1,1,1,0,1
PAUCHR,1,1,1,1,1,1,0,0
BICSPE,1,1,1,1,0,0,0,0
HALSEO,1,1,1,1,1,1,0,1
HALSPE,1,1,1,0,1,1,0,1
PLATAR,1,1,0,1,1,1,0,1
MASSPE,1,1,1,0,1,1,0,0
AURLIM,1,1,1,1,1,1,0,1
HONFER,1,1,1,1,1,1,0,1
HYPCAT,1,1,1,1,1,1,0,1
PHYINF,1,1,1,1,1,1,1,1
SAPDIC,1,1,1,1,1,1,1,1
PHATRI,1,1,1,1,1,1,0,0
NANOCE,1,1,1,1,1,1,0,1
CHASUB,1,1,1,1,1,1,0,1
CLAOKA,1,1,1,1,1,1,0,1
COLSPE,1,1,1,1,1,1,1,1
COLVIE,1,1,1,1,0,1,0,0
STECOE,0,0,0,0,0,0,0,0
STEHIS,0,0,0,0,0,0,0,0
PARTET,0,0,0,0,0,0,0,0
PSEPER,0,0,0,0,0,0,0,0
TETTHE,0,0,0,0,0,0,0,0
PERMAR,0,0,0,0,0,0,0,0
HEMSPE,0,0,0,0,0,0,0,0
CRYCOH,0,0,0,0,0,0,0,0
SYMSPE,0,0,0,0,0,0,0,0
CHRVEL,0,0,0,0,0,0,0,0
VITBRA,1,1,1,1,1,1,0,0
TOXGON,1,1,1,1,1,1,0,0
CRYMUR,1,1,1,0,1,1,0,0
PLAFAL,1,1,1,1,1,1,0,0
THEPAR,1,1,1,1,1,0,0,0
